project_role_id,competence_id,importance
1,6,10
1,14,10
1,15,9
1,8,8
1,16,8
2,6,10
2,14,10
2,5,8
2,9,8
2,17,9
3,1,8
3,3,10
3,5,10
3,8,9
3,6,8
3,9,7
4,5,10
4,6,9
4,7,8
4,8,10
4,9,7
4,17,8
5,6,9
5,8,10
5,16,10
5,17,9
5,9,8
6,22,10
6,23,9
6,24,9
6,25,8
7,6,10
7,14,10
7,15,9
7,8,8
7,16,8
8,6,10
8,14,10
8,5,8
8,9,8
8,17,9
9,5,10
9,6,9
9,7,8
9,8,10
9,9,7
9,17,8
10,1,9
10,2,9
10,3,10
10,4,10
10,8,7
10,20,6
11,9,10
11,10,9
11,11,10
11,17,9
11,18,8
11,8,7
12,1,9
12,2,9
12,3,10
12,4,10
12,8,7
12,20,6
13,21,10
13,20,9
13,24,7
14,22,10
14,23,9
14,24,9
14,25,8
15,26,10
15,18,9
15,19,9
15,9,8
16,12,10
16,13,9
16,3,7
16,8,8
16,6,7
17,5,10
17,6,9
17,7,8
17,8,10
17,9,7
17,17,8
18,6,10
18,14,10
18,5,8
18,9,8
18,17,9
19,6,10
19,14,10
19,15,9
19,8,8
19,16,8
20,1,9
20,2,9
20,3,10
20,4,10
20,8,7
20,20,6
21,9,10
21,10,9
21,11,10
21,17,9
21,18,8
21,8,7
22,5,10
22,6,9
22,7,8
22,8,10
22,9,7
22,17,8
23,29,10
23,3,8
23,6,7
23,5,7
24,1,9
24,2,9
24,3,10
24,4,10
24,8,7
24,20,6
25,27,10
25,28,10
25,3,8
25,5,7
26,5,10
26,6,9
26,7,8
26,8,10
26,9,7
26,17,8
27,6,10
27,14,10
27,15,9
27,8,8
27,16,8
28,6,9
28,8,10
28,16,10
28,17,9
28,9,8
29,9,10
29,10,9
29,11,10
29,17,9
29,18,8
29,8,7
30,5,10
30,6,9
30,7,8
30,8,10
30,9,7
30,17,8
31,20,10
31,1,6
31,2,6
31,3,5
32,1,9
32,2,9
32,3,10
32,4,10
32,8,7
32,20,6
33,22,10
33,23,9
33,24,9
33,25,8
34,24,10
34,25,9
34,8,7
34,15,8
35,9,10
35,10,9
35,11,10
35,17,9
35,18,8
35,8,7
36,19,10
36,18,9
36,9,8
36,17,8
37,22,10
37,23,9
37,24,9
37,25,8
38,1,8
38,3,10
38,5,10
38,8,9
38,6,8
38,9,7
39,6,10
39,14,10
39,5,8
39,9,8
39,17,9
40,5,10
40,6,9
40,7,8
40,8,10
40,9,7
40,17,8
41,1,8
41,3,10
41,5,10
41,8,9
41,6,8
41,9,7
42,12,10
42,13,9
42,3,7
42,8,8
42,6,7
43,6,9
43,8,10
43,16,10
43,17,9
43,9,8
44,6,10
44,14,10
44,15,9
44,8,8
44,16,8
45,5,10
45,6,9
45,7,8
45,8,10
45,9,7
45,17,8
46,30,10
46,8,9
46,17,10
46,9,9
46,6,8
47,6,10
47,14,10
47,5,8
47,9,8
47,17,9
48,6,10
48,14,10
48,15,9
48,8,8
48,16,8
49,6,9
49,8,10
49,16,10
49,17,9
49,9,8
50,5,10
50,6,9
50,7,8
50,8,10
50,9,7
50,17,8
51,5,10
51,6,9
51,7,8
51,8,10
51,9,7
51,17,8
52,1,9
52,2,9
52,3,10
52,4,10
52,8,7
52,20,6
53,1,8
53,3,10
53,5,10
53,8,9
53,6,8
53,9,7
54,21,10
54,20,9
54,24,7
55,26,10
55,18,9
55,19,9
55,9,8
56,9,10
56,10,9
56,11,10
56,17,9
56,18,8
56,8,7
57,5,10
57,6,9
57,7,8
57,8,10
57,9,7
57,17,8
58,9,10
58,10,9
58,11,10
58,17,9
58,18,8
58,8,7
59,9,10
59,10,9
59,11,10
59,17,9
59,18,8
59,8,7
60,6,9
60,8,10
60,16,10
60,17,9
60,9,8
61,29,10
61,3,8
61,6,7
61,5,7
62,6,10
62,14,10
62,5,8
62,9,8
62,17,9
63,27,10
63,28,10
63,3,8
63,5,7
64,5,10
64,6,9
64,7,8
64,8,10
64,9,7
64,17,8
65,26,10
65,18,9
65,19,9
65,9,8
