role_id,competence_id,importance
1,3,10
1,4,10
1,1,9
1,2,9
1,5,8
2,5,10
2,7,10
2,8,9
2,6,9
2,17,8
3,3,10
3,5,10
3,6,9
3,7,9
3,4,8
3,8,8
4,9,10
4,10,10
4,11,10
4,17,9
4,18,9
5,12,10
5,13,9
5,3,8
5,11,8
5,6,7
6,6,10
6,14,10
6,15,10
6,8,9
6,16,8
7,6,10
7,8,10
7,16,10
7,15,9
7,17,8
8,6,10
8,14,10
8,15,9
8,8,8
8,9,7
9,18,10
9,9,9
9,19,9
9,17,8
9,8,8
10,19,10
10,18,9
10,17,8
10,8,8
11,20,10
11,1,9
11,2,9
11,21,8
12,21,10
12,20,9
12,24,8
12,25,8
13,22,10
13,24,9
13,23,9
13,25,8
14,23,10
14,22,9
14,24,8
14,11,7
15,24,10
15,25,10
15,22,9
15,23,8
16,24,10
16,25,9
16,30,9
16,8,8
17,26,10
17,19,9
17,9,9
17,18,8
17,17,8
18,27,10
18,28,10
18,5,9
18,3,8
18,8,7
19,29,10
19,3,9
19,6,9
19,30,8
20,30,10
20,5,9
20,7,9
20,17,9
20,4,8
21,34,10
21,8,9
21,53,9
21,1,8
21,12,8
22,35,10
22,36,10
22,23,9
22,11,8
23,8,10
23,37,10
23,38,9
23,9,8
23,18,8
24,31,10
24,32,10
24,33,9
24,18,9
24,9,8
25,39,10
25,25,9
25,24,9
25,8,8
25,5,7
26,40,10
26,13,9
26,12,9
26,57,8
26,6,7
27,41,10
27,56,9
27,12,9
27,8,8
27,42,8
28,42,10
28,43,10
28,11,9
28,9,9
28,10,8
29,15,10
29,44,10
29,8,9
29,45,8
29,6,8
30,45,10
30,8,10
30,16,9
30,44,9
30,17,8
31,31,10
31,46,9
31,18,9
31,8,8
31,9,8
32,47,10
32,57,9
32,7,9
32,53,8
32,17,8
33,48,10
33,58,9
33,9,9
33,11,9
33,17,8
34,49,10
34,6,9
34,24,8
34,57,8
34,3,7
35,50,10
35,29,9
35,3,8
35,20,8
35,30,7
36,51,10
36,59,10
36,60,9
36,5,9
36,8,8
37,52,10
37,8,10
37,15,9
37,16,9
37,12,8
38,53,10
38,11,9
38,23,9
38,35,8
38,22,8
39,54,10
39,18,9
39,8,8
39,34,8
39,12,7
40,55,10
40,14,10
40,15,9
40,6,9
40,8,8
