user_id,competence_id,level
1,31,1
1,46,3
1,18,3
1,8,1
1,9,2
2,3,2
2,5,1
2,6,1
2,7,2
2,4,2
2,8,1
2,20,1
2,1,2
2,2,3
2,21,1
3,24,1
3,25,2
3,22,1
3,23,3
3,52,3
3,8,2
3,15,1
3,16,1
3,12,3
3,18,3
3,9,1
3,19,1
3,17,2
3,30,3
4,50,1
4,29,2
4,3,3
4,20,3
4,30,1
4,54,1
4,18,3
4,8,2
4,34,1
4,12,3
4,42,3
4,43,3
4,11,1
4,9,3
4,10,1
5,21,2
5,20,2
5,24,2
5,25,1
5,1,3
5,2,2
6,55,3
6,14,1
6,15,1
6,6,1
6,8,3
6,37,1
6,38,3
6,9,3
6,18,1
7,45,1
7,8,3
7,16,3
7,44,1
7,17,1
7,41,1
7,56,2
7,12,1
7,42,2
8,49,1
8,6,3
8,24,3
8,57,2
8,3,1
9,45,3
9,8,1
9,16,1
9,44,1
9,17,2
10,34,1
10,8,2
10,53,1
10,1,3
10,12,1
10,37,1
10,38,2
10,9,3
10,18,3
10,11,1
10,23,1
10,35,2
10,22,2
10,41,1
10,56,2
10,42,1
11,22,3
11,24,2
11,23,3
11,25,1
11,47,1
11,57,3
11,7,1
11,53,2
11,17,3
12,20,1
12,1,2
12,2,1
12,21,2
12,24,2
12,25,2
12,30,3
12,8,2
12,48,2
12,58,3
12,9,3
12,11,2
12,17,2
13,15,1
13,44,2
13,8,3
13,45,1
13,6,2
13,42,3
13,43,1
13,11,2
13,9,1
13,10,2
14,23,1
14,22,2
14,24,2
14,11,1
14,25,3
14,6,3
14,14,3
14,15,3
14,8,1
14,9,2
14,35,3
14,36,1
15,3,2
15,5,1
15,6,3
15,7,3
15,4,1
15,8,1
15,22,3
15,24,1
15,23,1
15,25,3
15,19,3
15,18,1
15,17,3
16,29,1
16,3,3
16,6,1
16,30,2
16,35,3
16,36,2
16,23,2
16,11,2
16,41,3
16,56,3
16,12,1
16,8,2
16,42,3
16,47,3
16,57,1
16,7,2
16,53,2
16,17,3
17,24,1
17,25,3
17,22,1
17,23,2
17,19,3
17,18,2
17,17,2
17,8,1
17,35,1
17,36,3
17,11,1
17,31,3
17,46,3
17,9,1
18,15,1
18,44,3
18,8,2
18,45,1
18,6,1
18,16,1
18,17,2
19,31,3
19,46,2
19,18,1
19,8,2
19,9,1
19,19,3
19,17,1
19,10,3
19,11,1
19,6,3
19,14,1
19,15,1
19,16,1
20,53,2
20,11,1
20,23,1
20,35,3
20,22,1
21,24,3
21,25,1
21,22,3
21,23,1
21,3,1
21,4,2
21,1,1
21,2,3
21,5,3
22,40,2
22,13,3
22,12,2
22,57,2
22,6,3
22,31,3
22,32,3
22,33,1
22,18,3
22,9,2
22,19,2
22,17,3
22,8,2
22,51,1
22,59,1
22,60,3
22,5,3
23,30,1
23,5,1
23,7,1
23,17,2
23,4,3
23,55,2
23,14,3
23,15,3
23,6,1
23,8,2
23,49,1
23,24,1
23,57,3
23,3,3
24,49,2
24,6,2
24,24,3
24,57,3
24,3,2
24,34,2
24,8,2
24,53,3
24,1,3
24,12,2
25,3,3
25,4,2
25,1,2
25,2,1
25,5,1
25,39,2
25,25,3
25,24,2
25,8,1
25,55,2
25,14,1
25,15,1
25,6,3
25,40,2
25,13,2
25,12,1
25,57,3
26,22,3
26,24,2
26,23,1
26,25,2
26,50,3
26,29,1
26,3,2
26,20,1
26,30,1
26,40,2
26,13,1
26,12,2
26,57,2
26,6,2
27,35,1
27,36,3
27,23,3
27,11,1
28,31,1
28,32,3
28,33,2
28,18,2
28,9,3
28,6,2
28,8,2
28,16,1
28,15,3
28,17,3
28,51,3
28,59,2
28,60,1
28,5,3
29,15,3
29,44,2
29,8,3
29,45,3
29,6,2
29,24,1
29,25,1
29,22,1
29,23,2
29,30,1
29,40,1
29,13,3
29,12,1
29,57,2
30,24,1
30,25,3
30,22,3
30,23,3
31,40,3
31,13,3
31,12,2
31,57,2
31,6,2
32,21,3
32,20,3
32,24,1
32,25,2
32,54,3
32,18,2
32,8,3
32,34,2
32,12,3
33,51,3
33,59,1
33,60,3
33,5,3
33,8,3
33,31,2
33,46,1
33,18,3
33,9,3
33,19,3
33,17,3
33,6,3
33,16,3
33,15,1
34,55,1
34,14,3
34,15,1
34,6,2
34,8,1
34,52,3
34,16,3
34,12,3
34,3,1
34,4,1
34,1,2
34,2,1
34,5,2
34,31,2
34,32,2
34,33,1
34,18,3
34,9,1
35,51,1
35,59,3
35,60,1
35,5,3
35,8,1
35,15,3
35,44,2
35,45,3
35,6,1
36,15,2
36,44,2
36,8,2
36,45,1
36,6,3
36,48,3
36,58,1
36,9,3
36,11,2
36,17,3
36,31,3
36,46,2
36,18,3
37,9,3
37,10,3
37,11,3
37,17,1
37,18,2
37,31,1
37,46,3
37,8,2
38,29,2
38,3,2
38,6,2
38,30,3
38,54,1
38,18,2
38,8,3
38,34,3
38,12,1
38,15,3
38,44,1
38,45,1
39,41,1
39,56,3
39,12,2
39,8,1
39,42,2
39,47,1
39,57,3
39,7,3
39,53,2
39,17,1
39,13,2
39,3,2
39,11,2
39,6,1
39,54,1
39,18,3
39,34,1
40,21,3
40,20,2
40,24,1
40,25,3
40,40,2
40,13,3
40,12,3
40,57,2
40,6,2
40,30,3
40,8,1
40,15,1
40,44,3
40,45,1
41,53,3
41,11,1
41,23,1
41,35,3
41,22,3
41,42,2
41,43,2
41,9,3
41,10,3
41,6,1
41,14,3
41,15,3
41,8,2
42,51,1
42,59,3
42,60,3
42,5,1
42,8,1
43,45,2
43,8,2
43,16,1
43,44,3
43,17,1
44,29,2
44,3,3
44,6,1
44,30,3
44,26,2
44,19,2
44,9,3
44,18,3
44,17,1
44,53,3
44,11,3
44,23,2
44,35,2
44,22,1
45,3,2
45,4,2
45,1,3
45,2,1
45,5,3
45,22,3
45,24,3
45,23,3
45,25,2
45,30,3
45,8,2
45,19,3
45,18,3
45,17,1
46,45,3
46,8,3
46,16,2
46,44,2
46,17,2
47,55,1
47,14,3
47,15,1
47,6,3
47,8,2
47,30,1
47,5,1
47,7,1
47,17,3
47,4,1
47,26,3
47,19,3
47,9,2
47,18,2
48,55,2
48,14,1
48,15,2
48,6,2
48,8,3
48,3,2
48,5,2
48,7,1
48,4,2
48,19,1
48,18,3
48,17,2
49,6,1
49,8,2
49,16,1
49,15,1
49,17,3
49,5,1
49,7,1
49,21,1
49,20,1
49,24,2
49,25,2
50,55,1
50,14,3
50,15,1
50,6,2
50,8,2
50,40,1
50,13,3
50,12,1
50,57,2
50,3,1
50,11,3
51,45,2
51,8,2
51,16,3
51,44,1
51,17,1
51,53,1
51,11,2
51,23,2
51,35,1
51,22,2
52,5,1
52,7,2
52,8,2
52,6,2
52,17,3
53,23,3
53,22,1
53,24,3
53,11,2
53,54,1
53,18,3
53,8,2
53,34,3
53,12,1
54,30,3
54,5,1
54,7,2
54,17,2
54,4,3
54,6,1
54,14,1
54,15,3
54,8,3
54,16,3
55,21,2
55,20,1
55,24,1
55,25,2
55,29,1
55,3,2
55,6,1
55,30,3
55,15,3
55,44,3
55,8,1
55,45,2
55,27,3
55,28,1
55,5,3
56,21,3
56,20,3
56,24,2
56,25,2
57,49,3
57,6,1
57,24,3
57,57,1
57,3,2
57,48,1
57,58,1
57,9,1
57,11,2
57,17,3
57,53,2
57,23,1
57,35,3
57,22,3
58,55,3
58,14,1
58,15,3
58,6,2
58,8,1
58,31,3
58,46,1
58,18,1
58,9,3
59,55,1
59,14,2
59,15,2
59,6,2
59,8,3
60,45,2
60,8,2
60,16,2
60,44,1
60,17,2
61,24,2
61,25,3
61,30,3
61,8,2
61,29,1
61,3,2
61,6,2
62,51,1
62,59,2
62,60,1
62,5,2
62,8,2
62,31,2
62,46,2
62,18,2
62,9,3
62,50,3
62,29,3
62,3,3
62,20,2
62,30,3
63,6,1
63,14,3
63,15,2
63,8,3
63,16,2
64,12,1
64,13,1
64,3,1
64,11,2
64,6,1
64,24,2
64,25,3
64,22,1
64,23,1
65,27,3
65,28,3
65,5,1
65,3,2
65,8,3
65,49,3
65,6,2
65,24,1
65,57,1
65,48,2
65,58,3
65,9,2
65,11,1
65,17,3
66,24,1
66,25,3
66,30,3
66,8,3
67,19,3
67,18,1
67,17,1
67,8,2
67,24,3
67,25,1
67,30,3
67,31,2
67,46,2
67,9,3
68,35,1
68,36,3
68,23,2
68,11,3
68,3,3
68,4,2
68,1,1
68,2,3
68,5,2
68,49,3
68,6,3
68,24,1
68,57,2
69,23,1
69,22,2
69,24,3
69,11,2
70,18,1
70,9,3
70,19,2
70,17,3
70,8,3
71,24,2
71,25,2
71,22,2
71,23,1
71,30,3
71,5,1
71,7,2
71,17,2
71,4,2
71,53,1
71,11,2
71,35,3
72,30,2
72,5,3
72,7,2
72,17,3
72,4,3
72,21,2
72,20,3
72,24,1
72,25,1
73,12,1
73,13,3
73,3,2
73,11,1
73,6,3
73,14,1
73,15,1
73,8,1
73,9,2
74,39,2
74,25,3
74,24,1
74,8,2
74,5,1
74,9,1
74,10,2
74,11,1
74,17,3
74,18,2
74,15,3
74,44,3
74,45,3
74,6,2
75,26,3
75,19,2
75,9,2
75,18,3
75,17,2
75,6,2
75,14,1
75,15,2
75,8,2
76,15,2
76,44,1
76,8,3
76,45,1
76,6,3
76,55,3
76,14,3
77,48,2
77,58,1
77,9,2
77,11,3
77,17,1
77,34,3
77,8,2
77,53,3
77,1,1
77,12,2
77,52,3
77,15,1
77,16,2
77,13,2
77,3,1
77,6,2
78,6,1
78,8,1
78,16,1
78,15,2
78,17,1
78,29,3
78,3,2
78,30,1
79,12,3
79,13,2
79,3,3
79,11,3
79,6,1
80,9,2
80,10,1
80,11,1
80,17,1
80,18,1
80,24,3
80,25,2
80,30,1
80,8,3
81,24,2
81,25,3
81,22,1
81,23,3
81,6,2
81,8,3
81,16,1
81,15,2
81,17,1
81,27,3
81,28,1
81,5,2
81,3,2
82,53,3
82,11,1
82,23,2
82,35,3
82,22,3
82,27,1
82,28,3
82,5,3
82,3,3
82,8,3
82,15,1
82,44,3
82,45,3
82,6,2
83,20,2
83,1,3
83,2,2
83,21,3
83,29,1
83,3,1
83,6,1
83,30,1
83,15,3
83,44,1
83,8,3
83,45,2
83,26,2
83,19,2
83,9,2
83,18,2
83,17,1
84,19,1
84,18,1
84,17,1
84,8,3
85,3,2
85,5,2
85,6,2
85,7,1
85,4,1
85,8,2
85,49,2
85,24,2
85,57,3
85,14,2
85,15,3
85,9,2
86,26,1
86,19,3
86,9,1
86,18,3
86,17,2
86,45,2
86,8,2
86,16,2
86,44,2
87,39,1
87,25,3
87,24,2
87,8,2
87,5,2
88,6,3
88,14,2
88,15,1
88,8,1
88,16,1
88,55,1
88,49,1
88,24,2
88,57,1
88,3,2
89,51,2
89,59,3
89,60,3
89,5,3
89,8,1
89,23,3
89,22,2
89,24,3
89,11,2
89,25,1
90,6,1
90,14,1
90,15,2
90,8,2
90,16,3
90,48,2
90,58,1
90,9,1
90,11,1
90,17,2
90,53,2
90,23,1
90,35,3
90,22,1
91,20,2
91,1,1
91,2,1
91,21,1
91,35,3
91,36,1
91,23,1
91,11,1
91,52,1
91,8,2
91,15,1
91,16,1
91,12,2
92,21,1
92,20,1
92,24,1
92,25,1
92,42,3
92,43,3
92,11,3
92,9,1
92,10,1
92,31,3
92,32,2
92,33,1
92,18,2
92,17,1
93,23,2
93,22,1
93,24,3
93,11,1
93,5,1
93,7,3
93,8,1
93,6,3
93,17,3
93,27,1
93,28,2
93,3,1
93,15,2
93,44,2
93,45,1
94,34,1
94,8,2
94,53,1
94,1,1
94,12,1
94,48,1
94,58,1
94,9,3
94,11,2
94,17,1
95,45,1
95,8,3
95,16,2
95,44,3
95,17,2
95,21,2
95,20,2
95,24,2
95,25,1
95,29,2
95,3,2
95,6,2
95,30,1
96,27,3
96,28,3
96,5,2
96,3,1
96,8,3
96,22,3
96,24,2
96,23,2
96,25,1
97,51,1
97,59,2
97,60,1
97,5,3
97,8,2
98,22,3
98,24,1
98,23,1
98,25,3
98,53,1
98,11,3
98,35,3
98,19,2
98,18,3
98,17,2
98,8,3
98,6,3
98,14,3
98,15,2
98,9,2
99,40,3
99,13,3
99,12,3
99,57,1
99,6,2
100,22,3
100,24,2
100,23,2
100,25,1
100,53,3
100,11,1
100,35,1
100,6,3
100,14,3
100,15,3
100,8,3
100,16,2
