user_id,project_role_id,priority
1,96,1
2,3,1
2,38,1
2,41,1
2,53,1
2,31,1
2,109,1
2,117,1
3,34,1
3,78,1
3,91,1
3,115,1
3,113,2
3,75,1
3,67,1
3,94,1
4,107,1
4,119,1
4,84,1
4,86,1
4,103,1
5,13,1
5,54,1
5,31,1
5,109,1
5,117,1
6,83,1
6,122,1
6,71,1
7,90,1
7,92,1
7,72,1
8,104,1
9,90,1
9,92,1
10,66,1
10,120,1
10,71,1
10,116,1
10,72,2
11,6,1
11,14,1
11,33,1
11,37,1
11,81,1
11,98,1
12,31,1
12,109,1
12,117,1
12,67,1
12,94,1
12,101,1
13,89,1
13,84,1
13,86,1
13,103,1
14,68,1
14,70,1
14,124,1
14,6,1
14,14,1
14,33,1
14,37,1
14,81,1
14,2,1
14,8,1
14,18,1
14,39,1
14,47,1
14,62,1
14,87,2
14,105,1
14,69,2
15,3,1
15,38,1
15,41,1
15,53,1
15,6,1
15,14,1
15,33,1
15,37,2
15,81,1
15,36,1
15,76,1
16,23,1
16,61,1
16,69,1
16,72,1
16,98,1
17,34,1
17,78,1
17,91,1
17,115,1
17,36,1
17,76,1
17,69,1
17,96,1
18,89,1
18,90,2
18,92,1
19,96,1
19,75,1
19,11,1
19,21,1
19,29,1
19,35,1
19,56,1
19,58,1
19,59,1
19,73,1
19,85,1
19,88,1
19,102,1
19,121,1
19,1,1
19,7,1
19,19,1
19,27,1
19,44,1
19,48,1
19,123,1
20,116,1
21,34,1
21,78,1
21,91,1
21,115,1
21,10,1
21,12,1
21,20,1
21,24,1
21,32,1
21,52,1
21,106,1
22,80,1
22,74,1
22,95,1
22,75,2
22,110,1
23,46,1
23,100,1
23,108,1
23,83,1
23,122,1
23,104,1
24,104,1
24,66,1
24,120,1
25,10,1
25,12,1
25,20,1
25,24,1
25,32,1
25,52,1
25,106,1
25,77,1
25,83,1
25,122,1
25,80,1
26,6,1
26,14,1
26,33,1
26,37,1
26,81,1
26,107,1
26,80,2
27,69,1
28,74,1
28,95,1
28,5,1
28,28,1
28,43,1
28,49,1
28,60,1
28,93,1
28,114,1
28,110,1
29,89,1
29,34,1
29,78,1
29,91,2
29,115,1
29,67,1
29,94,1
29,80,1
30,34,1
30,78,1
30,91,1
30,115,1
31,80,1
32,13,1
32,54,1
32,119,1
33,110,1
33,96,1
33,36,1
33,76,1
33,5,1
33,28,1
33,43,1
33,49,1
33,60,1
33,93,1
33,114,1
34,83,1
34,122,1
34,113,1
34,10,1
34,12,1
34,20,1
34,24,1
34,32,1
34,52,1
34,106,1
34,74,1
34,95,1
35,110,1
35,89,1
36,89,1
36,101,1
36,96,1
37,11,1
37,21,1
37,29,1
37,35,1
37,56,1
37,58,1
37,59,1
37,73,1
37,85,1
37,88,1
37,102,1
37,121,1
37,96,1
38,23,1
38,61,1
38,119,1
38,89,1
39,72,1
39,98,1
39,16,1
39,42,1
39,79,1
39,82,1
39,97,1
39,118,1
39,119,1
40,13,1
40,54,1
40,80,1
40,67,1
40,94,1
40,89,1
41,116,1
41,84,1
41,86,1
41,103,1
41,2,1
41,8,1
41,18,1
41,39,1
41,47,1
41,62,1
41,87,1
41,105,1
42,110,1
