user_id,role_id
1,19
1,6
2,11
2,4
3,13
3,8
4,6
4,7
5,6
5,14
6,11
6,2
7,15
7,17
8,19
8,10
9,19
9,20
10,18
10,2
11,17
11,16
12,16
12,7
13,13
13,3
14,3
14,4
15,6
15,17
16,11
16,6
17,5
17,8
18,3
18,1
19,9
19,17
20,16
20,5
21,4
21,8
22,6
22,8
23,17
23,7
24,5
24,19
25,17
25,3
26,12
26,17
27,17
27,19
28,15
29,7
29,4
30,15
30,9
31,15
31,9
32,9
33,7
33,6
34,15
34,14
35,5
35,2
36,13
36,2
37,19
37,16
38,1
38,20
39,8
39,18
40,19
40,6
41,18
41,15
42,17
42,4
43,1
43,4
44,11
44,16
45,2
45,4
46,13
46,4
47,17
47,15
48,9
48,17
49,3
49,9
50,13
50,4
51,13
51,17
52,5
52,19
53,20
53,8
54,16
54,15
55,13
55,6
56,16
56,3
57,19
58,1
58,7
59,16
59,4
60,6
60,1
61,17
61,15
62,4
62,2
63,13
63,16
64,14
64,8
65,5
65,12
66,19
66,9
67,20
67,11
68,3
68,1
69,18
69,7
70,17
70,8
71,7
71,8
72,3
72,10
73,2
73,11
74,14
74,3
75,14
75,20
76,14
76,4
77,6
77,20
78,13
78,2
79,3
79,14
80,11
80,14
81,4
81,15
82,1
82,12
83,7
83,13
84,10
84,6
85,1
85,9
86,16
86,18
87,4
87,10
88,15
88,11
89,7
89,14
