Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/competence (delete),936,0,140,153.45894976923267,11.645359000112876,1610.0488330000644,27.0,32.22621319851107,0.0,140,170,190,210,250,280,320,430,1600,1600,1600
GET,/competence (get),2441,0,150,162.4013270827516,13.796216000059758,1617.1366480000415,1103.8918476034412,84.04293420680077,0.0,150,180,200,220,250,290,340,410,1400,1600,1600
PUT,/competence (post),1976,0,160,167.392173503542,16.053147999969042,1546.513128000015,27.0,68.03311675241225,0.0,160,190,210,220,270,300,350,400,1200,1500,1500
POST,/login,100,0,670,641.6314335999972,212.41082300002745,1535.1516559999254,682.61,3.4429714955674218,0.0,670,790,880,890,1100,1200,1500,1500,1500,1500,1500
GET,/role,1501,0,180,183.45529198134633,21.619762000000264,1141.6801130000067,6851.932045303131,51.679002148467,0.0,180,210,230,240,280,320,370,410,950,1100,1100
DELETE,/role (delete),990,0,240,240.2697672434358,23.192892999986725,1720.3445819999388,27.0,34.085417806117476,0.0,240,280,310,330,370,410,460,540,1700,1700,1700
PUT,/role (put),1872,0,260,255.60326439903693,25.52397900001324,1257.9419989999678,27.0,64.45242639702214,0.0,260,300,330,340,390,430,480,540,1100,1300,1300
GET,/role/project/{id},1920,0,140,145.89107264062267,11.936481000020649,1216.038104000063,24.864583333333332,66.1050527148945,0.0,140,160,190,200,240,270,310,350,1100,1200,1200
GET,/team,1525,0,140,147.9948350190168,10.630577000029007,1427.7840999999398,15.0,52.50531530740318,0.0,140,170,190,200,240,270,310,350,1200,1400,1400
,Aggregated,13261,0,170,183.4337569760952,10.630577000029007,1720.3445819999388,1000.9896689540759,456.57245002719577,0.0,170,210,230,250,310,360,440,540,1200,1600,1700
