Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778538240,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778538241,10,,Aggregated,0.000000,0.000000,880,890,900,900,900,900,900,900,900,900,900,10,0,880,884.0938367000035,869.7193730000663,897.998715999961,682.4
1778538242,20,,Aggregated,0.000000,0.000000,38,51,65,87,190,790,880,900,900,900,900,250,0,38,103.65702566399605,11.936481000020649,897.998715999961,389.516
1778538243,30,,Aggregated,0.000000,0.000000,38,48,59,66,150,400,880,900,1500,1500,1500,594,0,38,87.75555140572128,10.630577000029007,1535.1516559999254,428.469696969697
1778538244,40,,Aggregated,5.500000,0.000000,41,51,60,66,100,280,870,940,1500,1500,1500,1092,0,41,86.69484431318675,10.630577000029007,1535.1516559999254,530.0018315018315
1778538245,50,,Aggregated,86.666667,0.000000,48,59,67,74,99,190,760,900,1500,1500,1500,1724,0,48,83.18207780684449,10.630577000029007,1535.1516559999254,611.4866589327146
1778538246,60,,Aggregated,155.000000,0.000000,55,69,84,94,150,250,760,900,1300,1500,1500,2196,0,55,93.67276988205826,10.630577000029007,1535.1516559999254,628.1917122040073
1778538247,70,,Aggregated,225.200000,0.000000,62,86,100,110,180,260,690,880,1300,1500,1500,2677,0,62,101.85758336197252,10.630577000029007,1535.1516559999254,654.0534180052298
1778538248,80,,Aggregated,292.166667,0.000000,68,94,110,130,210,290,690,880,1200,1500,1500,3143,0,68,111.37791876169226,10.630577000029007,1535.1516559999254,672.0951320394528
1778538249,90,,Aggregated,314.285714,0.000000,77,110,130,150,240,340,690,880,1200,1500,1500,3592,0,77,121.2419732594655,10.630577000029007,1535.1516559999254,678.6531180400891
1778538250,100,,Aggregated,337.125000,0.000000,86,120,150,180,260,380,680,880,1200,1500,1500,4008,0,86,131.4288385800902,10.630577000029007,1535.1516559999254,706.1616766467066
1778538251,100,,Aggregated,351.333333,0.000000,95,130,170,200,270,380,680,910,1500,1700,1700,4520,0,95,141.36778403451333,10.630577000029007,1720.3445819999388,712.679203539823
1778538252,100,,Aggregated,360.700000,0.000000,110,150,180,210,270,370,670,880,1500,1700,1700,5040,0,100,146.2964984674603,10.630577000029007,1720.3445819999388,704.5327380952381
1778538253,100,,Aggregated,402.800000,0.000000,110,160,190,210,280,350,610,880,1500,1700,1700,5577,0,110,150.03611377245844,10.630577000029007,1720.3445819999388,715.6808319885243
1778538254,100,,Aggregated,453.000000,0.000000,120,160,200,220,280,350,540,840,1500,1700,1700,6054,0,120,154.136567436571,10.630577000029007,1720.3445819999388,733.602246448629
1778538255,100,,Aggregated,480.000000,0.000000,130,170,210,230,290,360,530,790,1500,1700,1700,6531,0,130,158.76556535568824,10.630577000029007,1720.3445819999388,755.8750574184658
1778538256,100,,Aggregated,497.000000,0.000000,130,180,210,230,290,360,510,780,1400,1700,1700,7025,0,130,161.70194939544479,10.630577000029007,1720.3445819999388,774.7104626334519
1778538257,100,,Aggregated,494.300000,0.000000,140,180,210,230,290,360,500,760,1400,1700,1700,7518,0,140,164.61322136326166,10.630577000029007,1720.3445819999388,788.9651503059324
1778538258,100,,Aggregated,479.300000,0.000000,140,180,220,240,290,360,480,730,1400,1700,1700,7997,0,140,166.92667498511963,10.630577000029007,1720.3445819999388,804.2766037263974
1778538259,100,,Aggregated,483.800000,0.000000,150,190,220,240,300,360,470,700,1400,1700,1700,8493,0,150,169.1560137085834,10.630577000029007,1720.3445819999388,830.5337336630166
1778538260,100,,Aggregated,483.400000,0.000000,150,190,220,240,300,360,460,680,1400,1700,1700,9004,0,150,170.8266858587294,10.630577000029007,1720.3445819999388,853.7445579742337
1778538261,100,,Aggregated,484.600000,0.000000,150,190,220,240,300,350,460,680,1400,1700,1700,9487,0,150,172.0821539162014,10.630577000029007,1720.3445819999388,868.5021608516918
1778538262,100,,Aggregated,489.700000,0.000000,150,200,220,240,300,360,460,670,1400,1700,1700,9990,0,150,173.89654692472496,10.630577000029007,1720.3445819999388,893.6505505505505
1778538263,100,,Aggregated,497.700000,0.000000,160,200,220,240,300,360,450,650,1400,1600,1700,10489,0,160,175.10243546915822,10.630577000029007,1720.3445819999388,905.8064639145772
1778538264,100,,Aggregated,495.400000,0.000000,160,200,230,250,300,360,440,620,1400,1600,1700,10965,0,160,176.66670883465568,10.630577000029007,1720.3445819999388,932.7058823529412
1778538265,100,,Aggregated,493.500000,0.000000,160,200,230,250,300,360,440,580,1300,1600,1700,11431,0,160,177.94885334852574,10.630577000029007,1720.3445819999388,948.472049689441
